,bowler,runs_conceded,balls_bowled,wickets,bowl_avg,balls_per_wicket,false_shot%,econ,%career_balls
0,Murali Kartik,0,1,0,,inf,0.0,0.0,0.1
1,Kishore Mahato,0,4,0,,inf,0.0,0.0,5.13
2,Umair Ali,0,2,0,,inf,0.0,0.0,1.8
3,Rahul Sharma,0,1,0,,inf,0.0,0.0,0.49
4,Scott Cameron,0,1,0,,inf,0.0,0.0,1.0
5,Jan Nicol Loftie-Eaton,0,4,0,,inf,0.0,0.0,0.87
6,Asghar Afghan,0,2,0,,inf,0.0,0.0,1.44
7,Ragheb Aga,1,12,0,inf,inf,0.0,0.5,3.64
8,Khaliq Dad,1,6,0,inf,inf,0.0,1.0,2.33
9,David Hussey,2,7,1,2.0,7.0,28.57,1.71,0.87
10,Arafat Sunny,3,9,0,inf,inf,22.22,2.0,1.08
11,Saud Shakeel,1,2,0,inf,inf,100.0,3.0,4.26
12,Gurinder Sandhu,2,4,0,inf,inf,25.0,3.0,3.33
13,Brad Currie,1,2,0,inf,inf,0.0,3.0,1.33
14,Michael van Lingen,5,10,0,inf,inf,0.0,3.0,10.2
15,Adrian Neill,2,4,0,inf,inf,0.0,3.0,0.92
16,Andrew Ellis,1,2,0,inf,inf,50.0,3.0,0.41
17,Andre Botha,9,18,0,inf,inf,0.0,3.0,1.58
18,Anderson Cummins,10,19,2,5.0,9.5,0.0,3.16,6.46
19,Saad Bin Zafar,19,36,0,inf,inf,0.0,3.17,5.45
20,Karim Sadiq,9,16,0,inf,inf,0.0,3.38,5.0
21,Anthony Hawkins-Kay,7,12,1,7.0,12.0,0.0,3.5,22.22
22,Ahmed Raza,10,17,1,10.0,17.0,0.0,3.53,0.61
23,John Nyumbu,3,5,0,inf,inf,0.0,3.6,0.59
24,Tom Cooper,12,19,1,12.0,19.0,5.26,3.79,2.98
25,Samiullah Shinwari,23,35,4,5.75,8.75,0.0,3.94,1.7
26,Jason Mohammed,2,3,0,inf,inf,0.0,4.0,0.68
27,Maurits Jonkman,12,18,1,12.0,18.0,0.0,4.0,17.65
28,Naseem Shah,6,9,1,6.0,9.0,22.22,4.0,1.28
29,Basil Hameed,4,6,1,4.0,6.0,50.0,4.0,0.53
30,Scott Styris,6,9,0,inf,inf,11.11,4.0,0.35
31,Varun Aaron,4,6,1,4.0,6.0,16.67,4.0,1.57
32,Dave Mohammed,36,50,0,inf,inf,0.0,4.32,14.25
33,Shehan Jayasuriya,9,12,0,inf,inf,8.33,4.5,3.85
34,Max O'Dowd,6,8,0,inf,inf,0.0,4.5,10.67
35,Yasir Shah,27,36,0,inf,inf,11.11,4.5,2.78
36,Nosthush Kenjige,9,12,0,inf,inf,8.33,4.5,0.64
37,Tharindu Kaushal,9,12,0,inf,inf,16.67,4.5,33.33
38,Kedar Jadhav,25,33,0,inf,inf,0.0,4.55,2.78
39,Sushan Bhari,32,42,1,32.0,42.0,0.0,4.57,9.95
40,Saeed Ajmal,27,35,1,27.0,35.0,17.14,4.63,0.58
41,Jamie Dalrymple,63,81,2,31.5,40.5,14.81,4.67,9.61
42,Shahid Ahmadzai,7,9,0,inf,inf,0.0,4.67,5.36
43,Mohammad Ashraful,14,18,0,inf,inf,5.56,4.67,4.86
44,Lutho Sipamla,19,24,1,19.0,24.0,12.5,4.75,13.11
45,Shivnarine Chanderpaul,19,24,0,inf,inf,16.67,4.75,92.31
46,Kraigg Brathwaite,12,15,0,inf,inf,6.67,4.8,9.87
47,Brad Wheal,12,15,0,inf,inf,0.0,4.8,2.05
48,Gareth Delany,8,10,1,8.0,10.0,30.0,4.8,2.56
49,Akif Raja,4,5,0,inf,inf,0.0,4.8,2.17
50,Najeeb Amar,33,41,2,16.5,20.5,4.88,4.83,34.17
51,Michael Yardy,21,26,1,21.0,26.0,0.0,4.85,1.95
52,Vikram Solanki,17,21,1,17.0,21.0,14.29,4.86,18.92
53,Chris Cairns,40,49,1,40.0,49.0,4.08,4.9,7.42
54,Ray Price,111,134,3,37.0,44.67,7.46,4.97,3.42
55,Rohan Mustafa,54,65,1,54.0,65.0,3.08,4.98,1.74
56,Piet Rinke,5,6,2,2.5,3.0,33.33,5.0,3.03
57,Faf du Plessis,10,12,1,10.0,12.0,33.33,5.0,6.25
58,Glen Chapple,5,6,0,inf,inf,16.67,5.0,25.0
59,George Codrington,15,18,1,15.0,18.0,0.0,5.0,4.41
60,John Kariko,5,6,0,inf,inf,0.0,5.0,4.76
61,Kyle McCallan,5,6,0,inf,inf,0.0,5.0,0.45
62,Sean Williams,17,20,0,inf,inf,10.0,5.1,0.43
63,Sagar Dhakal,18,21,0,inf,inf,0.0,5.14,9.17
64,Noor Ahmad,21,24,0,inf,inf,12.5,5.25,4.68
65,Steven Outerbridge,21,24,0,inf,inf,0.0,5.25,66.67
66,Paul Collingwood,83,94,2,41.5,47.0,14.89,5.3,2.28
67,Iftikhar Ahmed,101,114,1,101.0,114.0,14.91,5.32,14.32
68,Tendai Chisoro,8,9,0,inf,inf,22.22,5.33,1.0
69,Nelson Odhiambo,8,9,0,inf,inf,0.0,5.33,2.69
70,James Ngoche,17,19,0,inf,inf,0.0,5.37,2.18
71,Tanaka Chivanga,10,11,1,10.0,11.0,45.45,5.45,3.63
72,Junaid Siddiqui,10,11,0,inf,inf,0.0,5.45,3.01
73,Ian Butler,21,23,1,21.0,23.0,34.78,5.48,4.42
74,Majid Haq,75,82,4,18.75,20.5,7.32,5.49,3.77
75,Ziaur Rahman,52,56,0,inf,inf,16.07,5.57,14.32
76,Daniel Vettori,184,198,4,46.0,49.5,19.19,5.58,2.59
