,bowler,runs_conceded,balls_bowled,wickets,bowl_avg,balls_per_wicket,false_shot%,econ,%career_balls
0,Rokhan Barakzai,0,6,0,,inf,0.0,0.0,10.0
1,Tom Heggelman,0,2,1,0.0,2.0,0.0,0.0,1.96
2,Mohammad Yousuf,0,1,1,0.0,1.0,100.0,0.0,100.0
3,Qaiser Ali,0,1,0,,inf,0.0,0.0,1.19
4,Xavier Bartlett,0,6,0,,inf,66.67,0.0,6.19
5,Don Maxwell,0,2,0,,inf,0.0,0.0,11.11
6,Dean Elgar,0,3,1,0.0,3.0,100.0,0.0,3.09
7,Mahela Jayawardene,0,1,0,,inf,0.0,0.0,2.27
8,Billy Stelling,5,16,1,5.0,16.0,0.0,1.88,4.94
9,Regan West,8,24,0,inf,inf,0.0,2.0,5.38
10,Zhivago Groenewald,1,3,0,inf,inf,0.0,2.0,1.52
11,Dominic Wesonga,1,3,0,inf,inf,0.0,2.0,7.14
12,Jack Brassell,6,17,1,6.0,17.0,0.0,2.12,12.88
13,Tharindu Kaushal,4,11,0,inf,inf,9.09,2.18,30.56
14,Sabir Ali,5,13,1,5.0,13.0,0.0,2.31,12.38
15,Ian Bell,3,7,0,inf,inf,14.29,2.57,10.0
16,Ashwell Prince,3,7,0,inf,inf,14.29,2.57,58.33
17,Anshy Rath,49,113,7,7.0,16.14,0.0,2.6,33.43
18,Chetan Sakariya,12,26,0,inf,inf,19.23,2.77,52.0
19,Michael Vaughan,6,13,1,6.0,13.0,30.77,2.77,5.04
20,Paras Khadka,7,15,0,inf,inf,0.0,2.8,4.16
21,Brett Dorey,2,4,0,inf,inf,0.0,3.0,2.45
22,Oliver Davidson,8,16,0,inf,inf,0.0,3.0,29.63
23,Waheed Ahmed,1,2,0,inf,inf,0.0,3.0,1.67
24,Nitish Kumar,7,14,1,7.0,14.0,0.0,3.0,21.21
25,Sushant Modani,3,6,0,inf,inf,0.0,3.0,50.0
26,Pipi Raho,1,2,0,inf,inf,0.0,3.0,4.17
27,Lakshmipathy Balaji,14,28,1,14.0,28.0,0.0,3.0,11.57
28,Umar Amin,6,12,0,inf,inf,33.33,3.0,28.57
29,Ewen Thompson,2,4,0,inf,inf,0.0,3.0,16.67
30,Michael Chinouya,5,10,0,inf,inf,20.0,3.0,15.15
31,Justin Ontong,2,4,0,inf,inf,25.0,3.0,11.76
32,Kavem Hodge,4,8,0,inf,inf,0.0,3.0,7.41
33,Rayad Emrit,1,2,0,inf,inf,0.0,3.0,2.3
34,Tapiwa Mufudza,23,43,0,inf,inf,4.65,3.21,42.16
35,Khaliq Dad,26,48,2,13.0,24.0,0.0,3.25,18.68
36,Marchant de Lange,12,22,0,inf,inf,18.18,3.27,10.48
37,Shadeep Silva,5,9,0,inf,inf,0.0,3.33,21.43
38,Sultan Ahmed,9,16,0,inf,inf,0.0,3.38,22.22
39,Rahul Chahar,16,28,3,5.33,9.33,39.29,3.43,45.16
40,Gudakesh Motie,94,163,6,15.67,27.17,14.11,3.46,24.66
41,Basir Ahamad,11,19,0,inf,inf,0.0,3.47,17.12
42,Krunal Pandya,11,19,0,inf,inf,10.53,3.47,8.33
43,Najeeb Amar,28,48,0,inf,inf,4.17,3.5,40.0
44,Basant Regmi,10,17,1,10.0,17.0,0.0,3.53,10.24
45,Sagar Dhakal,6,10,0,inf,inf,0.0,3.6,4.37
46,Rishad Hossain,9,15,0,inf,inf,6.67,3.6,11.72
47,Rohit Paudel,68,111,4,17.0,27.75,0.9,3.68,35.69
48,Glen Chapple,8,13,0,inf,inf,23.08,3.69,54.17
49,Afif Hossain,28,45,2,14.0,22.5,20.0,3.73,47.87
50,Najmul Hossain Shanto,15,24,1,15.0,24.0,16.67,3.75,30.0
51,Matthew Short,26,41,0,inf,inf,2.44,3.8,56.94
52,Imran Farhat,7,11,1,7.0,11.0,81.82,3.82,33.33
53,Nikhil Dutta,23,36,0,inf,inf,0.0,3.83,12.5
54,Shahid Ahmadzai,38,59,0,inf,inf,0.0,3.86,35.12
55,Karim Sadiq,23,35,2,11.5,17.5,8.57,3.94,10.94
56,Shane Warne,25,38,1,25.0,38.0,23.68,3.95,90.48
57,Rehan Ahmed,85,128,7,12.14,18.29,25.0,3.98,45.39
58,Raees Ahmadzai,4,6,0,inf,inf,0.0,4.0,25.0
59,Sandeep Jyoti,4,6,0,inf,inf,0.0,4.0,5.0
60,Venkatesh Iyer,2,3,0,inf,inf,0.0,4.0,10.0
61,Mluleki Nkala,4,6,0,inf,inf,16.67,4.0,13.95
62,David Payne,4,6,0,inf,inf,16.67,4.0,11.11
63,Thinus Fourie,36,54,0,inf,inf,18.52,4.0,37.76
64,Timm van der Gugten,29,42,2,14.5,21.0,0.0,4.14,12.96
65,Tom Hartley,20,29,0,inf,inf,20.69,4.14,48.33
66,Faisal Hossain,26,37,0,inf,inf,21.62,4.22,50.68
67,Junaid Siddiqui,50,71,0,inf,inf,0.0,4.23,19.45
68,Andre Fletcher,12,17,0,inf,inf,11.76,4.24,60.71
69,Saqib Ali,17,24,1,17.0,24.0,8.33,4.25,40.0
70,Toby Roland-Jones,17,24,0,inf,inf,29.17,4.25,57.14
71,Aayan Afzal Khan,237,334,11,21.55,30.36,9.88,4.26,22.1
72,Dylan Budge,22,31,1,22.0,31.0,0.0,4.26,20.53
73,Dwayne Leverock,169,237,0,inf,inf,2.11,4.28,26.66
74,Abhimanyu Mithun,31,43,1,31.0,43.0,20.93,4.33,23.89
75,Kinchit Shah,39,54,3,13.0,18.0,11.11,4.33,49.09
76,Ian Nicolson,8,11,0,inf,inf,0.0,4.36,14.47
77,John Kariko,16,22,2,8.0,11.0,13.64,4.36,17.46
78,Paul Hoffmann,40,55,2,20.0,27.5,14.55,4.36,15.8
79,Elmore Hutchinson,32,44,0,inf,inf,0.0,4.36,14.1
80,Brad Currie,11,15,0,inf,inf,13.33,4.4,10.0
81,Ben Lister,70,95,0,inf,inf,20.0,4.42,60.9
82,Andrew Tye,85,115,6,14.17,19.17,23.48,4.43,29.56
83,Ray Price,714,961,21,34.0,45.76,9.47,4.46,24.53
84,Damodar Daesrath,32,43,1,32.0,43.0,0.0,4.47,58.9
85,Sunil Narine,822,1101,19,43.26,57.95,18.62,4.48,31.04
86,Pragyan Ojha,279,374,8,34.88,46.75,14.97,4.48,42.69
