,bowl,ballfaced
0,AB de Villiers,192
1,AM Ghazanfar,54
2,Aakash Chand,78
3,Aamer Yamin,157
4,Aamir Kaleem,100
5,Aarif Sheikh,670
6,Aaron Finch,284
7,Aaron Hardie,108
8,Aaron Jones,186
9,Aaron Phangiso,1086
10,Aayan Afzal Khan,1511
11,Abdool Samad,131
12,Abdul Rahman,104
13,Abdul Razzaq,3409
14,Abdullah Mazari,90
15,Abdur Rauf,220
16,Abdur Razzak,7033
17,Abdur Rehman,1636
18,Abhimanyu Mithun,180
19,Abhishek Nayar,19
20,Abhishek Paradkar,144
21,Abinash Bohara,66
22,Abu Hider,108
23,Abu Jayed,108
24,Abul Hasan,216
25,Adam Bacher,108
26,Adam Milne,2246
27,Adam Voges,301
28,Adam Zampa,5201
29,Adeel Raja,480
30,Adhitya Shetty,60
31,Adil Rashid,6793
32,Adithya Ashok,61
33,Adrian Neill,433
34,Afif Hossain,94
35,Aftab Ahmed,487
36,Aftab Alam,1256
37,Aftab Shamsudeen,18
38,Afzaal Haider,78
39,Agha Salman,416
40,Ahmed Raza,2785
41,Ahmed Shah,6
42,Ahmed Shehzad,116
43,Ahsan Malik,486
44,Aiden Markram,883
45,Ainsley Ndlovu,102
46,Aizaz Cheema,659
47,Aizaz Khan,737
48,Ajantha Mendis,4110
49,Ajay Lalcheta,84
50,Ajit Agarkar,2865
51,Ajmal Shahzad,585
52,Akalanka Ganegama,42
53,Akeal Hosein,2097
54,Akeem Jordan,66
55,Akif Raja,230
56,Akila Dananjaya,1995
57,Al-Amin Hossain,663
58,Alasdair Evans,1923
59,Albert van der Merwe,426
60,Albie Morkel,1953
61,Alei Nao,1101
62,Alex Cusack,1911
63,Alex Loudon,36
64,Alex Wharf,117
65,Alexei Kervezee,24
66,Alfred Luseno,135
67,Ali Khan,685
68,Ali Naseer,425
69,Alick Athanaze,7
70,Alok Kapali,579
71,Alviro Petersen,6
72,Alzarri Joseph,3477
73,Aman Ali,12
74,Ambati Rayudu,122
75,Amila Aponso,423
76,Amir Hamza,1558
77,Amir Hayat,446
78,Amit Mishra,1841
79,Amjad Javed,631
80,Ammar Khalid,199
81,Anderson Cummins,294
82,Anderson Phillip,195
83,Andile Phehlukwayo,3000
84,Andre Adams,412
85,Andre Botha,1140
86,Andre Fletcher,28
87,Andre McCarthy,12
88,Andre Nel,2737
89,Andre Russell,2310
90,Andrew Britton,36
91,Andrew Ellis,486
92,Andrew Flintoff,2871
93,Andrew Hall,2122
94,Andrew Mathieson,24
95,Andrew Symonds,2509
96,Andrew Tye,389
97,Andrew White,694
98,Andy Balbirnie,60
99,Andy Blignaut,291
100,Andy McBrine,4113
101,Andy McKay,934
102,Angelo Mathews,5281
103,Angelo Perera,36
104,Anil Kumble,682
105,Anrich Nortje,1008
106,Anshy Rath,338
107,Anthony Hawkins-Kay,54
108,Anthony Ireland,836
109,Anthony Martin,444
110,Anton Devcich,325
111,Anwar Ali,927
112,Aqib Ilyas,768
113,Arafat Sunny,830
114,Ariful Haque,18
115,Arshad Ali,96
116,Arshad Khan,451
117,Arshdeep Singh,242
118,Arvind Kandappah,1
119,Aryan Dutt,1770
