,bat,innings,entry,arrive_fow,exit,exit_fow,added
0,AB de Villiers,218,67.0,1.896805641982991,197.0,3.916096245592201,130.0
1,AM Ghazanfar,1,209.0,7.0,221.0,9.0,12.0
2,Aamer Yamin,3,105.0,6.2772277227722775,207.0,7.544554455445544,102.0
3,Aamir Kaleem,2,138.0,5.64,153.0,7.32,15.0
4,Aarif Sheikh,43,78.0,3.8007712082262213,170.0,6.419023136246786,92.0
5,Aaron Finch,142,2.0,0.04655581947743468,149.0,2.4660332541567698,147.0
6,Aaron Hardie,3,117.0,4.595744680851064,158.0,5.595744680851064,40.0
7,Aaron Johnson,12,0.0,0.0,71.0,2.207792207792208,70.0
8,Aaron Jones,43,49.0,2.2054728756601056,167.0,5.14882381180989,118.0
9,Aaron Phangiso,12,164.0,7.134146341463414,193.0,8.335365853658537,28.0
10,Aaron Redmond,6,5.0,0.11278195488721804,85.0,3.338345864661654,80.0
11,Aasif Sheikh,49,3.0,0.19710765934654526,114.0,3.1762185324049277,111.0
12,Aayan Afzal Khan,25,111.0,5.008620689655173,187.0,7.324712643678161,77.0
13,Abdool Samad,16,37.0,1.0844277673545966,105.0,3.1876172607879925,68.0
14,Abdul Jabbar,2,4.0,0.0,86.0,2.953488372093023,82.0
15,Abdul Rahman,3,77.0,6.243243243243243,89.0,7.135135135135135,11.0
16,Abdul Razzaq,77,126.0,4.963891675025075,202.0,7.044633901705115,76.0
17,Abdul Shakoor,3,106.0,4.857142857142857,150.0,6.6571428571428575,44.0
18,Abdullah Mazari,1,118.0,7.0,153.0,8.0,35.0
19,Abdullah Shafique,12,13.0,0.15605749486652978,133.0,2.0451745379876796,120.0
20,Abdur Razzak,86,150.0,7.450304259634889,180.0,8.661257606490873,29.0
21,Abdur Rehman,23,147.0,6.561594202898551,177.0,7.543478260869565,30.0
22,Abhimanyu Mithun,3,176.0,7.701754385964913,207.0,9.0,32.0
23,Abhishek Nayar,1,104.0,3.0,129.0,3.0,25.0
24,Abhishek Paradkar,4,97.0,5.7407407407407405,122.0,8.0,25.0
25,Abid Ali,6,1.0,0.5136186770428015,148.0,1.9805447470817121,147.0
26,Abinash Bohara,2,172.0,9.0,182.0,9.0,10.0
27,Abu Hider,1,110.0,8.0,119.0,8.0,9.0
28,Abul Hasan,3,138.0,5.9375,156.0,6.9375,18.0
29,Adam Bacher,5,1.0,0.19889502762430938,77.0,2.143646408839779,76.0
30,Adam Gilchrist,87,1.0,0.009813874788494078,108.0,1.7272419627749578,108.0
31,Adam Milne,22,205.0,6.800947867298579,233.0,8.056872037914692,28.0
32,Adam Voges,28,111.0,3.375,224.0,5.506889763779528,113.0
33,Adam Zampa,46,193.0,7.855579868708972,223.0,9.019693654266959,30.0
34,Adeel Raja,6,117.0,8.168831168831169,140.0,8.909090909090908,23.0
35,Adeel Shafique,1,32.0,1.0,52.0,2.0,20.0
36,Adil Rashid,66,191.0,6.956069364161849,240.0,8.361849710982659,49.0
37,Adithya Ashok,1,85.0,7.0,97.0,9.0,12.0
38,Adnan Akmal,4,197.0,5.260869565217392,244.0,6.478260869565218,47.0
39,Adnan Mufti,16,127.0,4.1040189125295505,194.0,6.290780141843972,67.0
40,Adrian Barath,14,1.0,0.13354531001589826,101.0,2.4848966613672494,100.0
41,Adrian Neill,6,161.0,8.13953488372093,181.0,8.883720930232558,20.0
42,Afif Hossain,27,115.0,4.78757225433526,210.0,6.608381502890174,95.0
43,Afsar Zazai,15,64.0,2.3871635610766044,152.0,4.523809523809524,88.0
44,Aftab Ahmed,65,44.0,1.764840182648402,115.0,3.8110730593607305,71.0
45,Aftab Alam,16,151.0,8.046296296296296,178.0,9.101851851851851,26.0
46,Aftab Shamsudeen,1,110.0,4.0,129.0,5.0,19.0
47,Afzaal Haider,1,109.0,8.0,118.0,9.0,9.0
48,Agha Salman,17,121.0,3.39009900990099,189.0,5.013861386138614,68.0
49,Ahmed Raza,41,141.0,6.6748911465892595,183.0,8.412191582002903,42.0
50,Ahmed Shah,1,0.0,0.0,2.0,1.0,2.0
51,Ahmed Shehzad,81,2.0,0.10305653232350555,114.0,2.506626994860698,112.0
