,bat,runs,balls,dismissals,avg,rpo
495,Tillakaratne Dilshan,1026,674,11.0,93.27,9.13
515,Virender Sehwag,972,571,19.0,51.16,10.21
81,Brendon McCullum,834,355,14.0,59.57,14.1
298,Martin Guptill,783,476,8.0,97.88,9.87
123,David Warner,700,428,8.0,87.5,9.81
508,Upul Tharanga,683,571,7.0,97.57,7.18
99,Chris Gayle,670,322,8.0,83.75,12.48
237,Jonny Bairstow,655,360,12.0,54.58,10.92
414,Rohit Sharma,626,353,8.0,78.25,10.64
217,Jason Roy,624,379,11.0,56.73,9.88
489,Tamim Iqbal,575,352,8.0,71.88,9.8
383,Quinton de Kock,512,275,7.0,73.14,11.17
432,Sanath Jayasuriya,511,330,7.0,73.0,9.29
514,Virat Kohli,418,279,5.0,83.6,8.99
505,Travis Head,412,254,3.0,137.33,9.73
263,Kusal Perera,408,237,8.0,51.0,10.33
451,Shane Watson,404,209,1.0,404.0,11.6
10,Adam Gilchrist,402,233,5.0,80.4,10.35
2,Aaron Finch,385,220,5.0,77.0,10.5
160,Gautam Gambhir,367,261,3.0,122.33,8.44
181,Hashim Amla,337,171,5.0,67.4,11.82
22,Alex Hales,331,229,3.0,110.33,8.67
424,Sachin Tendulkar,326,224,4.0,81.5,8.73
169,Graeme Smith,316,182,4.0,79.0,10.42
463,Shubman Gill,303,193,4.0,75.75,9.42
261,Kumar Sangakkara,302,211,3.0,100.67,8.59
0,AB de Villiers,278,136,7.0,39.71,12.26
148,Eoin Morgan,277,172,2.0,138.5,9.66
226,Jesse Ryder,272,154,5.0,54.4,10.6
333,Mohammad Shahzad,270,139,4.0,67.5,11.65
372,Paul Stirling,246,125,2.0,123.0,11.81
230,Joe Root,246,210,4.0,61.5,7.03
377,Phil Salt,240,124,6.0,40.0,11.61
266,Kyle Coetzer,239,135,2.0,119.5,10.62
319,Mitchell Marsh,237,182,4.0,59.25,7.81
37,Andrew Strauss,232,156,2.0,116.0,8.92
238,Jos Buttler,225,109,3.0,75.0,12.39
457,Shikhar Dhawan,223,179,1.0,223.0,7.47
286,Mahela Jayawardene,205,162,5.0,41.0,7.59
359,Niroshan Dickwella,202,126,6.0,33.67,9.62
406,Rizwan Cheema,197,115,1.0,197.0,10.28
324,Mohammad Hafeez,191,108,4.0,47.75,10.61
20,Alastair Cook,180,103,2.0,90.0,10.49
370,Pathum Nissanka,176,102,1.0,176.0,10.35
186,Herschelle Gibbs,176,85,1.0,176.0,12.42
199,Ishan Kishan,172,122,3.0,57.33,8.46
234,Johnson Charles,171,100,1.0,171.0,10.26
194,Imrul Kayes,168,131,3.0,56.0,7.69
404,Ricky Ponting,167,132,4.0,41.75,7.59
176,Hamilton Masakadza,164,111,,,8.86
427,Salman Butt,162,143,4.0,40.5,6.8
302,Matthew Hayden,160,134,2.0,80.0,7.16
443,Shahid Afridi,155,71,2.0,77.5,13.1
527,William Porterfield,149,80,,,11.18
342,Muhammad Waseem,146,71,2.0,73.0,12.34
43,Anil Sah,141,78,1.0,141.0,10.85
502,Tony Ura,141,68,,,12.44
476,Steven Taylor,141,66,1.0,141.0,12.82
6,Aasif Sheikh,138,100,3.0,46.0,8.28
188,Ian Bell,134,80,1.0,134.0,10.05
108,Corey Anderson,133,53,,,15.06
264,Kushal Bhurtel,131,67,6.0,21.83,11.73
285,MS Dhoni,131,91,1.0,131.0,8.64
294,Mark Boucher,130,80,,,9.75
218,Jatinder Singh,129,69,,,11.22
248,Karim Sadiq,127,87,2.0,63.5,8.76
121,David Miller,124,67,2.0,62.0,11.1
525,Will Jacks,120,75,2.0,60.0,9.6
468,Soumya Sarkar,112,59,2.0,56.0,11.39
187,Hiral Patel,112,80,2.0,56.0,8.4
110,Craig Kieswetter,111,64,3.0,37.0,10.41
116,Danushka Gunathilaka,110,64,,,10.31
71,Ben Duckett,109,83,,,7.88
152,Fakhar Zaman,105,49,,,12.86
105,Colin Munro,104,58,3.0,34.67,10.76
138,Dimuth Karunaratne,103,90,,,6.87
469,Sourav Ganguly,101,85,2.0,50.5,7.13
221,Jean-Paul Duminy,101,69,2.0,50.5,8.78
134,Devon Conway,99,65,1.0,99.0,9.14
361,Noor Ali Zadran,98,68,,,8.65
381,Prithvi Shaw,98,58,2.0,49.0,10.14
150,Evin Lewis,96,55,3.0,32.0,10.47
538,Zunaed Siddique,96,57,1.0,96.0,10.11
279,Lou Vincent,95,51,1.0,95.0,11.18
533,Zak Crawley,92,85,3.0,30.67,6.49
233,John Davison,90,60,1.0,90.0,9.0
247,Kane Williamson,90,115,2.0,45.0,4.7
473,Stephen Fleming,90,74,,,7.3
168,Glenn Maxwell,88,45,2.0,44.0,11.73
409,Robin Uthappa,85,45,3.0,28.33,11.33
453,Sharjeel Khan,84,40,1.0,84.0,12.6
293,Marcus Trescothick,84,51,1.0,84.0,9.88
210,James Vince,84,65,3.0,28.0,7.75
72,Ben Stokes,83,74,3.0,27.67,6.73
405,Rilee Rossouw,83,40,1.0,83.0,12.45
471,Stephan Myburgh,80,36,1.0,80.0,13.33
184,Heinrich Klaasen,80,38,3.0,26.67,12.63
262,Kusal Mendis,80,59,4.0,20.0,8.14
16,Ahmed Shehzad,80,37,,,12.97
446,Shai Hope,79,71,2.0,39.5,6.68
510,Usman Khawaja,79,66,1.0,79.0,7.18
483,Suresh Raina,78,64,3.0,26.0,7.31
491,Temba Bavuma,77,65,,,7.11
385,Rahmanullah Gurbaz,76,45,1.0,76.0,10.13
125,Dawid Malan,75,59,3.0,25.0,7.63
274,Liam Livingstone,74,32,1.0,74.0,13.88
191,Imam-ul-Haq,73,41,,,10.68
88,Cephas Zhuwao,72,42,2.0,36.0,10.29
25,Alick Athanaze,72,29,,,14.9
91,Chamu Chibhabha,71,34,1.0,71.0,12.53
146,Dwayne Smith,71,41,2.0,35.5,10.39
245,KL Rahul,70,41,2.0,35.0,10.24
255,Kieran Powell,70,34,2.0,35.0,12.35
277,Litton Das,68,45,,,9.07
239,Josh Inglis,68,38,2.0,34.0,10.74
140,Dinesh Karthik,68,44,1.0,68.0,9.27
360,Nizakat Khan,68,35,1.0,68.0,11.66
202,Jacques Kallis,67,54,2.0,33.5,7.44
501,Tom Latham,66,76,2.0,33.0,5.21
185,Henry Nicholls,66,62,,,6.39
17,Aiden Markram,66,39,1.0,66.0,10.15
249,Kashyap Prajapati,65,38,,,10.26
416,Ross Taylor,64,73,3.0,21.33,5.26
163,George Bailey,64,58,1.0,64.0,6.62
60,Avishka Fernando,64,38,,,10.11
164,George Munsey,64,39,2.0,32.0,9.85
282,Luke Ronchi,63,34,,,11.12
76,Brad Haddin,62,45,2.0,31.0,8.27
64,Azhar Ali,62,52,2.0,31.0,7.15
118,Darren Bravo,61,63,1.0,61.0,5.81
246,Kamran Akmal,60,50,1.0,60.0,7.2
412,Rohan Mustafa,60,36,,,10.0
216,Jason Holder,60,52,2.0,30.0,6.92
301,Matthew Cross,60,46,4.0,15.0,7.83
517,Vusi Sibanda,59,53,,,6.68
219,Javed Ahmadi,59,56,1.0,59.0,6.32
154,Finn Allen,58,30,1.0,58.0,11.6
454,Shaun Marsh,58,43,,,8.09
349,Nasir Jamshed,57,36,,,9.5
112,Craig Wallace,57,34,3.0,19.0,10.06
192,Imran Farhat,56,51,,,6.59
407,Rob Nicol,53,31,,,10.26
444,Shahriar Nafees,53,47,,,6.77
311,Michael Clarke,52,40,1.0,52.0,7.8
328,Mohammad Nabi,52,32,1.0,52.0,9.75
340,Mosaddek Hossain,52,27,,,11.56
297,Marnus Labuschagne,50,35,,,8.57
42,Angelo Mathews,50,46,1.0,50.0,6.52
425,Sadeera Samarawickrama,49,43,1.0,49.0,6.84
87,Carlos Brathwaite,49,34,1.0,49.0,8.65
526,Will Young,49,41,2.0,24.5,7.17
467,Solomon Mire,49,34,1.0,49.0,8.65
205,Jake Fraser-McGurk,46,17,2.0,23.0,16.24
15,Aftab Ahmed,46,30,,,9.2
85,Calum MacLeod,45,26,1.0,45.0,10.38
19,Ajinkya Rahane,45,23,,,11.74
368,Parthiv Patel,45,31,2.0,22.5,8.71
183,Hazratullah Zazai,45,16,,,16.88
395,Ravi Bopara,45,38,2.0,22.5,7.11
30,Anamul Haque,45,23,1.0,45.0,11.74
475,Steven Smith,44,45,,,5.87
53,Ashif Mulla,44,22,2.0,22.0,12.0
122,David Obuya,42,24,1.0,42.0,10.5
516,Vriitya Aravind,41,26,,,9.46
322,Moeen Ali,41,29,2.0,20.5,8.48
55,Ashley Nurse,41,38,1.0,41.0,6.47
307,Mayank Agarwal,40,32,2.0,20.0,7.5
276,Lionel Cann,39,16,1.0,39.0,14.62
4,Aaron Johnson,39,16,1.0,39.0,14.62
135,Devon Smith,39,34,,,6.88
28,Amjad Ali,39,17,1.0,39.0,13.76
33,Andre Fletcher,38,39,,,5.85
459,Shivnarine Chanderpaul,38,20,1.0,38.0,11.4
519,Washington Sundar,38,28,1.0,38.0,8.14
267,Kyle Mayers,38,19,,,12.0
269,Lahiru Thirimanne,38,43,2.0,19.0,5.3
189,Ibrahim Zadran,37,25,1.0,37.0,8.88
384,Rachin Ravindra,37,29,,,7.66
419,Ruvindu Gunasekera,36,25,2.0,18.0,8.64
344,Mushfiqur Rahim,36,23,1.0,36.0,9.39
193,Imran Nazir,36,18,1.0,36.0,12.0
461,Shoaib Malik,36,34,,,6.35
458,Shimron Hetmyer,35,24,1.0,35.0,8.75
231,Johan van der Wath,35,19,2.0,17.5,11.05
291,Marco Jansen,35,21,1.0,35.0,10.0
513,Vikramjit Singh,34,18,,,11.33
