,bat,runs,balls,dismissals,avg,rpo
1371,Virat Kohli,6849,6756,108.0,63.42,6.08
752,MS Dhoni,4992,4934,91.0,54.86,6.07
701,Kumar Sangakkara,4566,4590,96.0,47.56,5.97
1075,Rohit Sharma,4432,4244,78.0,56.82,6.27
0,AB de Villiers,4408,3946,79.0,55.8,6.7
1081,Ross Taylor,4002,4301,76.0,52.66,5.58
482,Hashim Amla,3848,3871,69.0,55.77,5.96
1304,Tillakaratne Dilshan,3608,3779,88.0,41.0,5.73
756,Mahela Jayawardene,3345,3426,87.0,38.45,5.86
1058,Ricky Ponting,3218,3523,65.0,49.51,5.48
785,Martin Guptill,3172,3284,62.0,51.16,5.8
313,David Warner,3145,3074,67.0,46.94,6.14
381,Eoin Morgan,3106,2914,66.0,47.06,6.4
1238,Steven Smith,3105,3177,62.0,50.08,5.86
4,Aaron Finch,3086,3119,63.0,48.98,5.94
1010,Quinton de Kock,3040,2880,68.0,44.71,6.33
1198,Shikhar Dhawan,3039,2762,54.0,56.28,6.6
600,Joe Root,3003,3155,54.0,55.61,5.71
647,Kane Williamson,2830,2984,60.0,47.17,5.69
888,Mushfiqur Rahim,2828,2867,64.0,44.19,5.92
1406,Yuvraj Singh,2786,2905,61.0,45.67,5.75
1276,Tamim Iqbal,2785,2679,58.0,48.02,6.24
809,Michael Clarke,2661,2897,60.0,44.35,5.51
152,Babar Azam,2614,2587,41.0,63.76,6.06
1260,Suresh Raina,2573,2339,71.0,36.24,6.6
386,Faf du Plessis,2472,2431,50.0,49.44,6.1
100,Angelo Mathews,2464,2471,54.0,45.63,5.98
1352,Upul Tharanga,2452,2754,65.0,37.72,5.34
1169,Shakib Al Hasan,2395,2355,57.0,42.02,6.1
843,Mohammad Hafeez,2356,2259,45.0,52.36,6.26
418,Gautam Gambhir,2352,2535,47.0,50.04,5.57
1180,Shane Watson,2299,2157,46.0,49.98,6.39
239,Chris Gayle,2230,1887,33.0,67.58,7.09
581,Jean-Paul Duminy,2223,2273,56.0,39.7,5.87
435,Glenn Maxwell,2163,1550,50.0,43.26,8.37
620,Jos Buttler,2128,1754,61.0,34.89,7.28
702,Kusal Mendis,2114,2169,48.0,44.04,5.85
972,Paul Stirling,2030,1890,44.0,46.14,6.44
441,Graeme Smith,2021,1975,49.0,41.24,6.14
1330,Tom Latham,1998,2004,44.0,45.41,5.98
1205,Shoaib Malik,1994,1925,46.0,43.35,6.22
500,Ian Bell,1923,2226,50.0,38.46,5.18
1167,Shai Hope,1915,1994,30.0,63.83,5.76
1107,Sachin Tendulkar,1898,1976,33.0,57.52,5.76
310,David Miller,1872,1687,42.0,44.57,6.66
167,Ben Stokes,1867,1834,36.0,51.86,6.11
536,Jacques Kallis,1864,2150,35.0,53.26,5.2
1149,Sean Williams,1810,1677,28.0,64.64,6.48
672,Kevin Pietersen,1783,1789,38.0,46.92,5.98
195,Brendon McCullum,1755,1567,54.0,32.5,6.72
758,Mahmudullah,1712,1689,41.0,41.76,6.08
461,Hamilton Masakadza,1680,1772,38.0,44.21,5.69
390,Fakhar Zaman,1635,1485,26.0,62.88,6.61
1404,Younis Khan,1590,1709,44.0,36.14,5.58
810,Michael Hussey,1568,1461,46.0,34.09,6.44
1372,Virender Sehwag,1554,1432,48.0,32.38,6.51
574,Jason Roy,1531,1422,33.0,46.39,6.46
194,Brendan Taylor,1521,1548,37.0,41.11,5.9
1212,Sikandar Raza,1498,1288,34.0,44.06,6.98
1161,Shahid Afridi,1412,878,54.0,26.15,9.65
1019,Rahul Dravid,1404,1580,28.0,50.14,5.33
344,Dinesh Chandimal,1404,1697,39.0,36.0,4.96
512,Imam-ul-Haq,1394,1454,25.0,55.76,5.75
187,Brad Haddin,1350,1305,39.0,34.62,6.21
703,Kusal Perera,1342,1414,40.0,33.55,5.69
643,Kamran Akmal,1333,1271,35.0,38.09,6.29
1033,Rassie van der Dussen,1326,1315,21.0,63.14,6.05
618,Jonny Bairstow,1317,1401,30.0,43.9,5.64
863,Mohammad Yousuf,1301,1460,29.0,44.86,5.35
832,Mitchell Marsh,1301,1275,31.0,41.97,6.12
635,KL Rahul,1298,1423,24.0,54.08,5.47
783,Marlon Samuels,1283,1286,29.0,44.24,5.99
1017,Rahmat Shah,1282,1462,25.0,51.28,5.26
91,Andrew Strauss,1273,1301,21.0,60.62,5.87
720,Lahiru Thirimanne,1262,1440,28.0,45.07,5.26
969,Paul Collingwood,1242,1283,31.0,40.06,5.81
47,Ajinkya Rahane,1240,1318,30.0,41.33,5.64
92,Andrew Symonds,1238,1129,32.0,38.69,6.58
1188,Shaun Marsh,1233,1355,26.0,47.42,5.46
617,Jonathan Trott,1212,1361,24.0,50.5,5.34
830,Misbah-ul-Haq,1212,1182,26.0,46.62,6.15
423,George Bailey,1209,1257,30.0,40.3,5.77
268,Craig Ervine,1206,1263,28.0,43.07,5.73
1125,Sanath Jayasuriya,1199,1093,34.0,35.26,6.58
1301,Thisara Perera,1192,867,54.0,22.07,8.25
1207,Shreyas Iyer,1165,1114,24.0,48.54,6.27
1039,Ravindra Jadeja,1163,1180,36.0,32.31,5.91
1202,Shivnarine Chanderpaul,1153,1198,20.0,57.65,5.77
856,Mohammad Rizwan,1148,1106,27.0,42.52,6.23
967,Pathum Nissanka,1143,1210,21.0,54.43,5.67
795,Matthew Hayden,1114,1125,18.0,61.89,5.94
928,Nicholas Pooran,1107,962,23.0,48.13,6.9
226,Charith Asalanka,1069,1013,20.0,53.45,6.33
1392,William Porterfield,1068,1210,35.0,30.51,5.3
44,Aiden Markram,1051,976,25.0,42.04,6.46
1339,Travis Head,1043,1037,18.0,57.94,6.03
25,Adam Gilchrist,1040,926,29.0,35.86,6.74
