,bat,runs,balls,dismissals,avg,rpo
1345,Virat Kohli,3202,3238,46.0,69.61,5.93
735,MS Dhoni,2503,3174,63.0,39.73,4.73
1050,Rohit Sharma,1923,2068,48.0,40.06,5.58
1145,Shakib Al Hasan,1829,2182,48.0,38.1,5.03
681,Kumar Sangakkara,1727,1775,37.0,46.68,5.84
1055,Ross Taylor,1693,1902,43.0,39.37,5.34
0,AB de Villiers,1637,1610,32.0,51.16,6.1
871,Mushfiqur Rahim,1628,2032,49.0,33.22,4.81
197,Brendan Taylor,1566,1804,43.0,36.42,5.21
630,Kane Williamson,1446,1714,32.0,45.19,5.06
374,Eoin Morgan,1390,1449,40.0,34.75,5.76
1281,Tillakaratne Dilshan,1373,1501,37.0,37.11,5.49
372,Elton Chigumbura,1361,1619,57.0,23.88,5.04
1253,Tamim Iqbal,1358,1603,46.0,29.52,5.08
99,Angelo Mathews,1351,1596,39.0,34.64,5.08
1124,Sean Williams,1330,1495,36.0,36.94,5.34
740,Mahmudullah,1327,1738,45.0,29.49,4.58
1181,Shoaib Malik,1286,1519,37.0,34.76,5.08
236,Chris Gayle,1268,1228,33.0,38.42,6.2
147,Babar Azam,1263,1402,29.0,43.55,5.41
1303,Tom Latham,1216,1417,31.0,39.23,5.15
1178,Shivnarine Chanderpaul,1186,1407,24.0,49.42,5.06
585,Joe Root,1181,1336,30.0,39.37,5.3
1143,Shai Hope,1177,1432,27.0,43.59,4.93
1237,Suresh Raina,1162,1250,39.0,29.79,5.58
1175,Shikhar Dhawan,1155,1316,30.0,38.5,5.27
559,Jason Roy,1135,1005,21.0,54.05,6.78
1377,Yuvraj Singh,1072,1235,34.0,31.53,5.21
989,Quinton de Kock,1072,1015,25.0,42.88,6.34
812,Misbah-ul-Haq,1054,1278,28.0,37.64,4.95
1137,Shahid Afridi,1047,782,48.0,21.81,8.03
319,Denesh Ramdin,1029,1209,40.0,25.72,5.11
1016,Ravindra Jadeja,1023,1176,38.0,26.92,5.22
1187,Sikandar Raza,1020,1098,31.0,32.9,5.57
468,Hashim Amla,1009,1126,30.0,33.63,5.38
1214,Steven Smith,1008,1114,24.0,42.0,5.43
449,Hamilton Masakadza,993,1341,42.0,23.64,4.44
1005,Ramnaresh Sarwan,992,1176,24.0,41.33,5.06
605,Jos Buttler,974,909,31.0,31.42,6.43
382,Fakhar Zaman,961,930,12.0,80.08,6.2
952,Paul Stirling,918,949,24.0,38.25,5.8
1320,Umar Akmal,898,1066,33.0,27.21,5.05
766,Marlon Samuels,891,1105,34.0,26.21,4.84
305,David Miller,883,890,28.0,31.54,5.95
739,Mahela Jayawardene,882,987,39.0,22.62,5.36
824,Mohammad Hafeez,873,1024,35.0,24.94,5.12
340,Dinesh Chandimal,869,1117,33.0,26.33,4.67
379,Faf du Plessis,864,884,20.0,43.2,5.86
425,Glenn Maxwell,859,706,19.0,45.21,7.3
164,Ben Stokes,830,906,22.0,37.73,5.5
768,Martin Guptill,820,928,30.0,27.33,5.3
1279,Thisara Perera,820,702,31.0,26.45,7.01
603,Jonny Bairstow,816,750,12.0,68.0,6.53
653,Kevin Pietersen,816,833,22.0,37.09,5.88
948,Paul Collingwood,815,924,25.0,32.6,5.29
652,Kevin O'Brien,814,786,27.0,30.15,6.21
199,Brendon McCullum,806,841,28.0,28.79,5.75
556,Jason Holder,784,841,30.0,26.13,5.59
1011,Ravi Bopara,770,872,24.0,32.08,5.3
409,Gautam Gambhir,766,847,22.0,34.82,5.43
308,David Warner,756,790,20.0,37.8,5.74
294,Darren Bravo,735,930,22.0,33.41,4.74
1112,Sarfaraz Ahmed,721,806,25.0,28.84,5.37
567,Jean-Paul Duminy,720,894,35.0,20.57,4.83
821,Mohammad Ashraful,720,943,25.0,28.8,4.58
1326,Upul Tharanga,718,839,26.0,27.62,5.13
267,Craig Ervine,712,797,21.0,33.9,5.36
700,Lahiru Thirimanne,712,915,24.0,29.67,4.67
671,Kieron Pollard,707,807,35.0,20.2,5.26
500,Imam-ul-Haq,702,795,15.0,46.8,5.3
487,Ian Bell,701,884,29.0,24.17,4.76
997,Rahul Dravid,692,892,20.0,34.6,4.65
830,Mohammad Nabi,691,762,27.0,25.59,5.44
1266,Tatenda Taibu,679,896,20.0,33.95,4.55
759,Mark Boucher,675,791,24.0,28.12,5.12
1375,Younis Khan,674,816,26.0,25.92,4.96
357,Dwayne Bravo,671,874,34.0,19.74,4.61
293,Daren Sammy,667,688,29.0,23.0,5.82
836,Mohammad Rizwan,663,737,21.0,31.57,5.4
793,Michael Clarke,658,838,20.0,32.9,4.71
478,Herschelle Gibbs,655,698,16.0,40.94,5.63
4,Aaron Finch,644,758,21.0,30.67,5.1
1083,Sachin Tendulkar,640,677,20.0,32.0,5.67
995,Rahmat Shah,631,841,14.0,45.07,4.5
95,Andy Balbirnie,613,759,21.0,29.19,4.85
11,Abdul Razzaq,606,666,21.0,28.86,5.46
297,Daryl Mitchell,598,617,14.0,42.71,5.82
1167,Shaun Pollock,594,606,16.0,37.12,5.88
223,Chamu Chibhabha,588,893,25.0,23.52,3.95
90,Andrew Strauss,588,635,14.0,42.0,5.56
682,Kusal Mendis,582,663,22.0,26.45,5.27
458,Haris Sohail,581,698,13.0,44.69,4.99
1094,Salman Butt,578,692,15.0,38.53,5.01
683,Kusal Perera,577,633,19.0,30.37,5.47
525,Jacques Kallis,569,714,18.0,31.61,4.78
844,Mohammad Yousuf,568,678,21.0,27.05,5.03
57,Alex Carey,563,529,13.0,43.31,6.39
44,Ajinkya Rahane,557,700,17.0,32.76,4.77
432,Graeme Smith,553,568,18.0,30.72,5.84
818,Moeen Ali,550,517,21.0,26.19,6.38
463,Harry Tector,539,585,11.0,49.0,5.53
1121,Scott Styris,538,630,18.0,29.89,5.12
627,Kamran Akmal,534,612,24.0,22.25,5.24
770,Mashrafe Mortaza,528,614,38.0,13.89,5.16
1166,Shaun Marsh,525,583,13.0,40.38,5.4
756,Marcus Stoinis,524,524,15.0,34.93,6.0
1119,Scott Edwards,519,503,12.0,43.25,6.19
984,Prosper Utseya,518,903,30.0,17.27,3.44
