,bat,runs,balls,dismissals,avg,rpo
1203,Virat Kohli,4593,5086,73.0,62.92,5.42
934,Rohit Sharma,3825,4311,67.0,57.09,5.32
690,Martin Guptill,2706,2866,49.0,55.22,5.67
1115,Tamim Iqbal,2632,3259,64.0,41.12,4.85
0,AB de Villiers,2569,2815,42.0,61.17,5.48
394,Graeme Smith,2509,2907,45.0,55.76,5.18
1141,Tillakaratne Dilshan,2464,2743,52.0,47.38,5.39
218,Chris Gayle,2442,2550,62.0,39.39,5.75
1046,Shikhar Dhawan,2383,2566,52.0,45.83,5.57
662,Mahela Jayawardene,2342,2941,41.0,57.12,4.78
618,Kumar Sangakkara,2338,3164,55.0,42.51,4.43
658,MS Dhoni,2335,2841,31.0,75.32,4.93
374,Gautam Gambhir,2258,2656,45.0,50.18,5.1
744,Mohammad Hafeez,2124,2864,63.0,33.71,4.45
1187,Upul Tharanga,2093,2720,56.0,37.38,4.62
340,Eoin Morgan,2076,2376,45.0,46.13,5.24
857,Paul Stirling,2042,2335,54.0,37.81,5.25
1029,Shane Watson,1982,2119,34.0,58.29,5.61
1204,Virender Sehwag,1966,1849,60.0,32.77,6.38
426,Hashim Amla,1965,2433,42.0,46.79,4.85
1233,Yuvraj Singh,1932,2388,40.0,48.3,4.85
1020,Shakib Al Hasan,1871,2178,41.0,45.63,5.15
884,Quinton de Kock,1786,1731,42.0,42.52,6.19
531,Joe Root,1779,2199,27.0,65.89,4.85
281,David Warner,1725,1774,44.0,39.2,5.83
713,Michael Clarke,1685,2287,25.0,67.4,4.42
180,Brendon McCullum,1678,1476,46.0,36.48,6.82
441,Ian Bell,1669,2280,36.0,46.36,4.39
938,Ross Taylor,1644,2150,36.0,45.67,4.59
921,Ricky Ponting,1607,2067,38.0,42.29,4.66
1102,Suresh Raina,1583,1689,32.0,49.47,5.62
477,Jacques Kallis,1548,2048,33.0,46.91,4.54
344,Faf du Plessis,1503,1812,31.0,48.48,4.98
762,Mohammad Shahzad,1487,1676,40.0,37.17,5.32
1222,William Porterfield,1473,2095,48.0,30.69,4.22
2,Aaron Finch,1440,1523,35.0,41.14,5.67
572,Kane Williamson,1439,2022,27.0,53.3,4.27
963,Sachin Tendulkar,1404,1746,42.0,33.43,4.82
83,Andrew Strauss,1399,1717,37.0,37.81,4.89
22,Adam Gilchrist,1393,1256,29.0,48.03,6.65
1052,Shoaib Malik,1367,1787,34.0,40.21,4.59
136,Babar Azam,1341,1623,20.0,67.05,4.96
408,Hamilton Masakadza,1333,1920,52.0,25.63,4.17
1018,Shai Hope,1308,1813,22.0,59.45,4.33
1231,Younis Khan,1284,1766,48.0,26.75,4.36
786,Mushfiqur Rahim,1275,1882,37.0,34.46,4.06
511,Jason Roy,1252,1112,32.0,39.12,6.76
1083,Steven Smith,1222,1512,24.0,50.92,4.85
594,Kevin Pietersen,1220,1491,32.0,38.12,4.91
890,Rahmat Shah,1206,1656,29.0,41.59,4.37
518,Jean-Paul Duminy,1192,1649,25.0,47.68,4.34
731,Misbah-ul-Haq,1182,1779,21.0,56.29,3.99
547,Jonny Bairstow,1177,1055,29.0,40.59,6.69
178,Brendan Taylor,1176,1621,37.0,31.78,4.35
1000,Sean Williams,1168,1304,25.0,46.72,5.37
52,Alastair Cook,1107,1452,29.0,38.17,4.57
688,Marlon Samuels,1063,1340,26.0,40.88,4.76
88,Andy Balbirnie,1027,1475,29.0,35.41,4.18
764,Mohammad Yousuf,1017,1586,20.0,50.85,3.85
436,Herschelle Gibbs,1013,1203,30.0,33.77,5.05
855,Paul Collingwood,1007,1497,23.0,43.78,4.04
593,Kevin O'Brien,999,1272,22.0,45.41,4.71
348,Fakhar Zaman,995,1074,28.0,35.54,5.56
571,Kamran Akmal,993,1173,31.0,32.03,5.08
624,Kyle Coetzer,993,1331,24.0,41.38,4.48
1058,Sikandar Raza,973,1159,23.0,42.3,5.04
189,Calum MacLeod,968,1325,17.0,56.94,4.38
1049,Shivnarine Chanderpaul,964,1535,17.0,56.71,3.77
453,Imam-ul-Haq,964,1225,18.0,53.56,4.72
620,Kusal Perera,957,1033,27.0,35.44,5.56
853,Pathum Nissanka,945,918,12.0,78.75,6.18
44,Ajinkya Rahane,927,1164,24.0,38.62,4.78
1206,Vusi Sibanda,925,1319,28.0,33.04,4.21
37,Ahmed Shehzad,909,1260,23.0,39.52,4.33
307,Dinesh Chandimal,907,1215,14.0,64.79,4.48
892,Rahul Dravid,906,1297,23.0,39.39,4.19
900,Ramnaresh Sarwan,905,1388,22.0,41.14,3.91
564,KL Rahul,886,1134,14.0,63.29,4.69
821,Niall O'Brien,885,1209,22.0,40.23,4.39
664,Mahmudullah,871,1220,21.0,41.48,4.28
244,Craig Ervine,859,1189,26.0,33.04,4.33
1070,Soumya Sarkar,853,811,14.0,60.93,6.31
331,Ed Joyce,842,1203,24.0,35.08,4.2
549,Jos Buttler,830,765,20.0,41.5,6.51
8,Aasif Sheikh,793,965,22.0,36.05,4.93
1163,Tom Latham,766,894,23.0,33.3,5.14
